### Graph based on Mycielski transformation. 
### Triangle free (clique number 2) but increasing coloring number
### Graph (191,2360)

param n := 191; 
param quadcostlevel := 0.01;
param linear_cost1 := 0.1;
param linear_cost2 := 0.1;

########Cost matrices and vectors##########

for {i in V}
    for{j in V}
        {let Q1[i,j] := 0; let Q2[i,j] := 0;
        if (i==j) then {let Q1[i,j]:=quadcostlevel*4; let Q2_fix[i,j]:= quadcostlevel;}
        else {if(j==i+1 or j==i-1) then {let Q1[i,j]:=-quadcostlevel; let Q2_fix[i,j]:=-quadcostlevel;}}
        }

for {i in V}
    {let q1[i] := linear_cost1; let q2_fix[i] := linear_cost2;}

#######Adjacency matrix########
for {i in V}
    for{j in V}
        let M[i,j] :=0;
let M[25,101] :=1;
let M[25,103] :=1;
let M[25,107] :=1;
let M[25,109] :=1;
let M[25,112] :=1;
let M[25,114] :=1;
let M[25,142] :=1;
let M[25,143] :=1;
let M[25,145] :=1;
let M[25,148] :=1;
let M[25,150] :=1;
let M[25,154] :=1;
let M[25,156] :=1;
let M[25,159] :=1;
let M[25,161] :=1;
let M[25,189] :=1;
let M[26,47] :=1;
let M[26,49] :=1;
let M[26,52] :=1;
let M[26,54] :=1;
let M[26,57] :=1;
let M[26,60] :=1;
let M[26,63] :=1;
let M[26,65] :=1;
let M[26,68] :=1;
let M[26,94] :=1;
let M[26,97] :=1;
let M[26,100] :=1;
let M[26,102] :=1;
let M[26,105] :=1;
let M[26,108] :=1;
let M[26,111] :=1;
let M[26,113] :=1;
let M[26,116] :=1;
let M[26,142] :=1;
let M[26,144] :=1;
let M[26,147] :=1;
let M[26,149] :=1;
let M[26,152] :=1;
let M[26,155] :=1;
let M[26,158] :=1;
let M[26,160] :=1;
let M[26,163] :=1;
let M[26,189] :=1;
let M[27,47] :=1;
let M[27,48] :=1;
let M[27,52] :=1;
let M[27,53] :=1;
let M[27,57] :=1;
let M[27,59] :=1;
let M[27,63] :=1;
let M[27,64] :=1;
let M[27,68] :=1;
let M[27,94] :=1;
let M[27,96] :=1;
let M[27,100] :=1;
let M[27,101] :=1;
let M[27,105] :=1;
let M[27,107] :=1;
let M[27,111] :=1;
let M[27,112] :=1;
let M[27,116] :=1;
let M[27,142] :=1;
let M[27,143] :=1;
let M[27,147] :=1;
let M[27,148] :=1;
let M[27,152] :=1;
let M[27,154] :=1;
let M[27,158] :=1;
let M[27,159] :=1;
let M[27,163] :=1;
let M[27,189] :=1;
let M[28,47] :=1;
let M[28,50] :=1;
let M[28,51] :=1;
let M[28,55] :=1;
let M[28,56] :=1;
let M[28,61] :=1;
let M[28,62] :=1;
let M[28,66] :=1;
let M[28,67] :=1;
let M[28,94] :=1;
let M[28,98] :=1;
let M[28,99] :=1;
let M[28,103] :=1;
let M[28,104] :=1;
let M[28,109] :=1;
let M[28,110] :=1;
let M[28,114] :=1;
let M[28,115] :=1;
let M[28,142] :=1;
let M[28,145] :=1;
let M[28,146] :=1;
let M[28,150] :=1;
let M[28,151] :=1;
let M[28,156] :=1;
let M[28,157] :=1;
let M[28,161] :=1;
let M[28,162] :=1;
let M[28,189] :=1;
let M[29,47] :=1;
let M[29,49] :=1;
let M[29,51] :=1;
let M[29,58] :=1;
let M[29,60] :=1;
let M[29,62] :=1;
let M[29,69] :=1;
let M[29,94] :=1;
let M[29,97] :=1;
let M[29,99] :=1;
let M[29,106] :=1;
let M[29,108] :=1;
let M[29,110] :=1;
let M[29,117] :=1;
let M[29,142] :=1;
let M[29,144] :=1;
let M[29,146] :=1;
let M[29,153] :=1;
let M[29,155] :=1;
let M[29,157] :=1;
let M[29,164] :=1;
let M[29,189] :=1;
let M[30,47] :=1;
let M[30,48] :=1;
let M[30,50] :=1;
let M[30,58] :=1;
let M[30,59] :=1;
let M[30,61] :=1;
let M[30,69] :=1;
let M[30,94] :=1;
let M[30,96] :=1;
let M[30,98] :=1;
let M[30,106] :=1;
let M[30,107] :=1;
let M[30,109] :=1;
let M[30,117] :=1;
let M[30,142] :=1;
let M[30,143] :=1;
let M[30,145] :=1;
let M[30,153] :=1;
let M[30,154] :=1;
let M[30,156] :=1;
let M[30,164] :=1;
let M[30,189] :=1;
let M[31,47] :=1;
let M[31,49] :=1;
let M[31,52] :=1;
let M[31,58] :=1;
let M[31,60] :=1;
let M[31,63] :=1;
let M[31,69] :=1;
let M[31,94] :=1;
let M[31,97] :=1;
let M[31,100] :=1;
let M[31,106] :=1;
let M[31,108] :=1;
let M[31,111] :=1;
let M[31,117] :=1;
let M[31,142] :=1;
let M[31,144] :=1;
let M[31,147] :=1;
let M[31,153] :=1;
let M[31,155] :=1;
let M[31,158] :=1;
let M[31,164] :=1;
let M[31,189] :=1;
let M[32,47] :=1;
let M[32,48] :=1;
let M[32,52] :=1;
let M[32,58] :=1;
let M[32,59] :=1;
let M[32,63] :=1;
let M[32,69] :=1;
let M[32,94] :=1;
let M[32,96] :=1;
let M[32,100] :=1;
let M[32,106] :=1;
let M[32,107] :=1;
let M[32,111] :=1;
let M[32,117] :=1;
let M[32,142] :=1;
let M[32,143] :=1;
let M[32,147] :=1;
let M[32,153] :=1;
let M[32,154] :=1;
let M[32,158] :=1;
let M[32,164] :=1;
let M[32,189] :=1;
let M[33,47] :=1;
let M[33,50] :=1;
let M[33,51] :=1;
let M[33,58] :=1;
let M[33,61] :=1;
let M[33,62] :=1;
let M[33,69] :=1;
let M[33,94] :=1;
let M[33,98] :=1;
let M[33,99] :=1;
let M[33,106] :=1;
let M[33,109] :=1;
let M[33,110] :=1;
let M[33,117] :=1;
let M[33,142] :=1;
let M[33,145] :=1;
let M[33,146] :=1;
let M[33,153] :=1;
let M[33,156] :=1;
let M[33,157] :=1;
let M[33,164] :=1;
let M[33,189] :=1;
let M[34,47] :=1;
let M[34,53] :=1;
let M[34,54] :=1;
let M[34,55] :=1;
let M[34,56] :=1;
let M[34,57] :=1;
let M[34,64] :=1;
let M[34,65] :=1;
let M[34,66] :=1;
let M[34,67] :=1;
let M[34,68] :=1;
let M[34,94] :=1;
let M[34,101] :=1;
let M[34,102] :=1;
let M[34,103] :=1;
let M[34,104] :=1;
let M[34,105] :=1;
let M[34,112] :=1;
let M[34,113] :=1;
let M[34,114] :=1;
let M[34,115] :=1;
let M[34,116] :=1;
let M[34,142] :=1;
let M[34,148] :=1;
let M[34,149] :=1;
let M[34,150] :=1;
let M[34,151] :=1;
let M[34,152] :=1;
let M[34,159] :=1;
let M[34,160] :=1;
let M[34,161] :=1;
let M[34,162] :=1;
let M[34,163] :=1;
let M[34,189] :=1;
let M[35,47] :=1;
let M[35,49] :=1;
let M[35,51] :=1;
let M[35,54] :=1;
let M[35,56] :=1;
let M[35,70] :=1;
let M[35,94] :=1;
let M[35,97] :=1;
let M[35,99] :=1;
let M[35,102] :=1;
let M[35,104] :=1;
let M[35,118] :=1;
let M[35,142] :=1;
let M[35,144] :=1;
let M[35,146] :=1;
let M[35,149] :=1;
let M[35,151] :=1;
let M[35,165] :=1;
let M[35,189] :=1;
let M[36,47] :=1;
let M[36,48] :=1;
let M[36,50] :=1;
let M[36,53] :=1;
let M[36,55] :=1;
let M[36,70] :=1;
let M[36,94] :=1;
let M[36,96] :=1;
let M[36,98] :=1;
let M[36,101] :=1;
let M[36,103] :=1;
let M[36,118] :=1;
let M[36,142] :=1;
let M[36,143] :=1;
let M[36,145] :=1;
let M[36,148] :=1;
let M[36,150] :=1;
let M[36,165] :=1;
let M[36,189] :=1;
let M[37,47] :=1;
let M[37,49] :=1;
let M[37,52] :=1;
let M[37,54] :=1;
let M[37,57] :=1;
let M[37,70] :=1;
let M[37,94] :=1;
let M[37,97] :=1;
let M[37,100] :=1;
let M[37,102] :=1;
let M[37,105] :=1;
let M[37,118] :=1;
let M[37,142] :=1;
let M[37,144] :=1;
let M[37,147] :=1;
let M[37,149] :=1;
let M[37,152] :=1;
let M[37,165] :=1;
let M[37,189] :=1;
let M[38,47] :=1;
let M[38,48] :=1;
let M[38,52] :=1;
let M[38,53] :=1;
let M[38,57] :=1;
let M[38,70] :=1;
let M[38,94] :=1;
let M[38,96] :=1;
let M[38,100] :=1;
let M[38,101] :=1;
let M[38,105] :=1;
let M[38,118] :=1;
let M[38,142] :=1;
let M[38,143] :=1;
let M[38,147] :=1;
let M[38,148] :=1;
let M[38,152] :=1;
let M[38,165] :=1;
let M[38,189] :=1;
let M[39,47] :=1;
let M[39,50] :=1;
let M[39,51] :=1;
let M[39,55] :=1;
let M[39,56] :=1;
let M[39,70] :=1;
let M[39,94] :=1;
let M[39,98] :=1;
let M[39,99] :=1;
let M[39,103] :=1;
let M[39,104] :=1;
let M[39,118] :=1;
let M[39,142] :=1;
let M[39,145] :=1;
let M[39,146] :=1;
let M[39,150] :=1;
let M[39,151] :=1;
let M[39,165] :=1;
let M[39,189] :=1;
let M[40,47] :=1;
let M[40,49] :=1;
let M[40,51] :=1;
let M[40,58] :=1;
let M[40,70] :=1;
let M[40,94] :=1;
let M[40,97] :=1;
let M[40,99] :=1;
let M[40,106] :=1;
let M[40,118] :=1;
let M[40,142] :=1;
let M[40,144] :=1;
let M[40,146] :=1;
let M[40,153] :=1;
let M[40,165] :=1;
let M[40,189] :=1;
let M[41,47] :=1;
let M[41,48] :=1;
let M[41,50] :=1;
let M[41,58] :=1;
let M[41,70] :=1;
let M[41,94] :=1;
let M[41,96] :=1;
let M[41,98] :=1;
let M[41,106] :=1;
let M[41,118] :=1;
let M[41,142] :=1;
let M[41,143] :=1;
let M[41,145] :=1;
let M[41,153] :=1;
let M[41,165] :=1;
let M[41,189] :=1;
let M[42,47] :=1;
let M[42,49] :=1;
let M[42,52] :=1;
let M[42,58] :=1;
let M[42,70] :=1;
let M[42,94] :=1;
let M[42,97] :=1;
let M[42,100] :=1;
let M[42,106] :=1;
let M[42,118] :=1;
let M[42,142] :=1;
let M[42,144] :=1;
let M[42,147] :=1;
let M[42,153] :=1;
let M[42,165] :=1;
let M[42,189] :=1;
let M[43,47] :=1;
let M[43,48] :=1;
let M[43,52] :=1;
let M[43,58] :=1;
let M[43,70] :=1;
let M[43,94] :=1;
let M[43,96] :=1;
let M[43,100] :=1;
let M[43,106] :=1;
let M[43,118] :=1;
let M[43,142] :=1;
let M[43,143] :=1;
let M[43,147] :=1;
let M[43,153] :=1;
let M[43,165] :=1;
let M[43,189] :=1;
let M[44,47] :=1;
let M[44,50] :=1;
let M[44,51] :=1;
let M[44,58] :=1;
let M[44,70] :=1;
let M[44,94] :=1;
let M[44,98] :=1;
let M[44,99] :=1;
let M[44,106] :=1;
let M[44,118] :=1;
let M[44,142] :=1;
let M[44,145] :=1;
let M[44,146] :=1;
let M[44,153] :=1;
let M[44,165] :=1;
let M[44,189] :=1;
let M[45,47] :=1;
let M[45,53] :=1;
let M[45,54] :=1;
let M[45,55] :=1;
let M[45,56] :=1;
let M[45,57] :=1;
let M[45,70] :=1;
let M[45,94] :=1;
let M[45,101] :=1;
let M[45,102] :=1;
let M[45,103] :=1;
let M[45,104] :=1;
let M[45,105] :=1;
let M[45,118] :=1;
let M[45,142] :=1;
let M[45,148] :=1;
let M[45,149] :=1;
let M[45,150] :=1;
let M[45,151] :=1;
let M[45,152] :=1;
let M[45,165] :=1;
let M[45,189] :=1;
let M[46,47] :=1;
let M[46,59] :=1;
let M[46,60] :=1;
let M[46,61] :=1;
let M[46,62] :=1;
let M[46,63] :=1;
let M[46,64] :=1;
let M[46,65] :=1;
let M[46,66] :=1;
let M[46,67] :=1;
let M[46,68] :=1;
let M[46,69] :=1;
let M[46,94] :=1;
let M[46,107] :=1;
let M[46,108] :=1;
let M[46,109] :=1;
let M[46,110] :=1;
let M[46,111] :=1;
let M[46,112] :=1;
let M[46,113] :=1;
let M[46,114] :=1;
let M[46,115] :=1;
let M[46,116] :=1;
let M[46,117] :=1;
let M[46,142] :=1;
let M[46,154] :=1;
let M[46,155] :=1;
let M[46,156] :=1;
let M[46,157] :=1;
let M[46,158] :=1;
let M[46,159] :=1;
let M[46,160] :=1;
let M[46,161] :=1;
let M[46,162] :=1;
let M[46,163] :=1;
let M[46,164] :=1;
let M[46,189] :=1;
let M[47,71] :=1;
let M[47,72] :=1;
let M[47,73] :=1;
let M[47,74] :=1;
let M[47,75] :=1;
let M[47,76] :=1;
let M[47,77] :=1;
let M[47,78] :=1;
let M[47,79] :=1;
let M[47,80] :=1;
let M[47,81] :=1;
let M[47,82] :=1;
let M[47,83] :=1;
let M[47,84] :=1;
let M[47,85] :=1;
let M[47,86] :=1;
let M[47,87] :=1;
let M[47,88] :=1;
let M[47,89] :=1;
let M[47,90] :=1;
let M[47,91] :=1;
let M[47,92] :=1;
let M[47,93] :=1;
let M[47,119] :=1;
let M[47,120] :=1;
let M[47,121] :=1;
let M[47,122] :=1;
let M[47,123] :=1;
let M[47,124] :=1;
let M[47,125] :=1;
let M[47,126] :=1;
let M[47,127] :=1;
let M[47,128] :=1;
let M[47,129] :=1;
let M[47,130] :=1;
let M[47,131] :=1;
let M[47,132] :=1;
let M[47,133] :=1;
let M[47,134] :=1;
let M[47,135] :=1;
let M[47,136] :=1;
let M[47,137] :=1;
let M[47,138] :=1;
let M[47,139] :=1;
let M[47,140] :=1;
let M[47,141] :=1;
let M[47,166] :=1;
let M[47,167] :=1;
let M[47,168] :=1;
let M[47,169] :=1;
let M[47,170] :=1;
let M[47,171] :=1;
let M[47,172] :=1;
let M[47,173] :=1;
let M[47,174] :=1;
let M[47,175] :=1;
let M[47,176] :=1;
let M[47,177] :=1;
let M[47,178] :=1;
let M[47,179] :=1;
let M[47,180] :=1;
let M[47,181] :=1;
let M[47,182] :=1;
let M[47,183] :=1;
let M[47,184] :=1;
let M[47,185] :=1;
let M[47,186] :=1;
let M[47,187] :=1;
let M[47,188] :=1;
let M[48,95] :=1;
let M[48,97] :=1;
let M[48,99] :=1;
let M[48,102] :=1;
let M[48,104] :=1;
let M[48,108] :=1;
let M[48,110] :=1;
let M[48,113] :=1;
let M[48,115] :=1;
let M[48,120] :=1;
let M[48,122] :=1;
let M[48,125] :=1;
let M[48,127] :=1;
let M[48,131] :=1;
let M[48,133] :=1;
let M[48,136] :=1;
let M[48,138] :=1;
let M[48,190] :=1;
let M[49,95] :=1;
let M[49,96] :=1;
let M[49,98] :=1;
let M[49,101] :=1;
let M[49,103] :=1;
let M[49,107] :=1;
let M[49,109] :=1;
let M[49,112] :=1;
let M[49,114] :=1;
let M[49,119] :=1;
let M[49,121] :=1;
let M[49,124] :=1;
let M[49,126] :=1;
let M[49,130] :=1;
let M[49,132] :=1;
let M[49,135] :=1;
let M[49,137] :=1;
let M[49,190] :=1;
let M[50,95] :=1;
let M[50,97] :=1;
let M[50,100] :=1;
let M[50,102] :=1;
let M[50,105] :=1;
let M[50,108] :=1;
let M[50,111] :=1;
let M[50,113] :=1;
let M[50,116] :=1;
let M[50,120] :=1;
let M[50,123] :=1;
let M[50,125] :=1;
let M[50,128] :=1;
let M[50,131] :=1;
let M[50,134] :=1;
let M[50,136] :=1;
let M[50,139] :=1;
let M[50,190] :=1;
let M[51,95] :=1;
let M[51,96] :=1;
let M[51,100] :=1;
let M[51,101] :=1;
let M[51,105] :=1;
let M[51,107] :=1;
let M[51,111] :=1;
let M[51,112] :=1;
let M[51,116] :=1;
let M[51,119] :=1;
let M[51,123] :=1;
let M[51,124] :=1;
let M[51,128] :=1;
let M[51,130] :=1;
let M[51,134] :=1;
let M[51,135] :=1;
let M[51,139] :=1;
let M[51,190] :=1;
let M[52,95] :=1;
let M[52,98] :=1;
let M[52,99] :=1;
let M[52,103] :=1;
let M[52,104] :=1;
let M[52,109] :=1;
let M[52,110] :=1;
let M[52,114] :=1;
let M[52,115] :=1;
let M[52,121] :=1;
let M[52,122] :=1;
let M[52,126] :=1;
let M[52,127] :=1;
let M[52,132] :=1;
let M[52,133] :=1;
let M[52,137] :=1;
let M[52,138] :=1;
let M[52,190] :=1;
let M[53,95] :=1;
let M[53,97] :=1;
let M[53,99] :=1;
let M[53,106] :=1;
let M[53,108] :=1;
let M[53,110] :=1;
let M[53,117] :=1;
let M[53,120] :=1;
let M[53,122] :=1;
let M[53,129] :=1;
let M[53,131] :=1;
let M[53,133] :=1;
let M[53,140] :=1;
let M[53,190] :=1;
let M[54,95] :=1;
let M[54,96] :=1;
let M[54,98] :=1;
let M[54,106] :=1;
let M[54,107] :=1;
let M[54,109] :=1;
let M[54,117] :=1;
let M[54,119] :=1;
let M[54,121] :=1;
let M[54,129] :=1;
let M[54,130] :=1;
let M[54,132] :=1;
let M[54,140] :=1;
let M[54,190] :=1;
let M[55,95] :=1;
let M[55,97] :=1;
let M[55,100] :=1;
let M[55,106] :=1;
let M[55,108] :=1;
let M[55,111] :=1;
let M[55,117] :=1;
let M[55,120] :=1;
let M[55,123] :=1;
let M[55,129] :=1;
let M[55,131] :=1;
let M[55,134] :=1;
let M[55,140] :=1;
let M[55,190] :=1;
let M[56,95] :=1;
let M[56,96] :=1;
let M[56,100] :=1;
let M[56,106] :=1;
let M[56,107] :=1;
let M[56,111] :=1;
let M[56,117] :=1;
let M[56,119] :=1;
let M[56,123] :=1;
let M[56,129] :=1;
let M[56,130] :=1;
let M[56,134] :=1;
let M[56,140] :=1;
let M[56,190] :=1;
let M[57,95] :=1;
let M[57,98] :=1;
let M[57,99] :=1;
let M[57,106] :=1;
let M[57,109] :=1;
let M[57,110] :=1;
let M[57,117] :=1;
let M[57,121] :=1;
let M[57,122] :=1;
let M[57,129] :=1;
let M[57,132] :=1;
let M[57,133] :=1;
let M[57,140] :=1;
let M[57,190] :=1;
let M[58,95] :=1;
let M[58,101] :=1;
let M[58,102] :=1;
let M[58,103] :=1;
let M[58,104] :=1;
let M[58,105] :=1;
let M[58,112] :=1;
let M[58,113] :=1;
let M[58,114] :=1;
let M[58,115] :=1;
let M[58,116] :=1;
let M[58,124] :=1;
let M[58,125] :=1;
let M[58,126] :=1;
let M[58,127] :=1;
let M[58,128] :=1;
let M[58,135] :=1;
let M[58,136] :=1;
let M[58,137] :=1;
let M[58,138] :=1;
let M[58,139] :=1;
let M[58,190] :=1;
let M[59,95] :=1;
let M[59,97] :=1;
let M[59,99] :=1;
let M[59,102] :=1;
let M[59,104] :=1;
let M[59,118] :=1;
let M[59,120] :=1;
let M[59,122] :=1;
let M[59,125] :=1;
let M[59,127] :=1;
let M[59,141] :=1;
let M[59,190] :=1;
let M[60,95] :=1;
let M[60,96] :=1;
let M[60,98] :=1;
let M[60,101] :=1;
let M[60,103] :=1;
let M[60,118] :=1;
let M[60,119] :=1;
let M[60,121] :=1;
let M[60,124] :=1;
let M[60,126] :=1;
let M[60,141] :=1;
let M[60,190] :=1;
let M[61,95] :=1;
let M[61,97] :=1;
let M[61,100] :=1;
let M[61,102] :=1;
let M[61,105] :=1;
let M[61,118] :=1;
let M[61,120] :=1;
let M[61,123] :=1;
let M[61,125] :=1;
let M[61,128] :=1;
let M[61,141] :=1;
let M[61,190] :=1;
let M[62,95] :=1;
let M[62,96] :=1;
let M[62,100] :=1;
let M[62,101] :=1;
let M[62,105] :=1;
let M[62,118] :=1;
let M[62,119] :=1;
let M[62,123] :=1;
let M[62,124] :=1;
let M[62,128] :=1;
let M[62,141] :=1;
let M[62,190] :=1;
let M[63,95] :=1;
let M[63,98] :=1;
let M[63,99] :=1;
let M[63,103] :=1;
let M[63,104] :=1;
let M[63,118] :=1;
let M[63,121] :=1;
let M[63,122] :=1;
let M[63,126] :=1;
let M[63,127] :=1;
let M[63,141] :=1;
let M[63,190] :=1;
let M[64,95] :=1;
let M[64,97] :=1;
let M[64,99] :=1;
let M[64,106] :=1;
let M[64,118] :=1;
let M[64,120] :=1;
let M[64,122] :=1;
let M[64,129] :=1;
let M[64,141] :=1;
let M[64,190] :=1;
let M[65,95] :=1;
let M[65,96] :=1;
let M[65,98] :=1;
let M[65,106] :=1;
let M[65,118] :=1;
let M[65,119] :=1;
let M[65,121] :=1;
let M[65,129] :=1;
let M[65,141] :=1;
let M[65,190] :=1;
let M[66,95] :=1;
let M[66,97] :=1;
let M[66,100] :=1;
let M[66,106] :=1;
let M[66,118] :=1;
let M[66,120] :=1;
let M[66,123] :=1;
let M[66,129] :=1;
let M[66,141] :=1;
let M[66,190] :=1;
let M[67,95] :=1;
let M[67,96] :=1;
let M[67,100] :=1;
let M[67,106] :=1;
let M[67,118] :=1;
let M[67,119] :=1;
let M[67,123] :=1;
let M[67,129] :=1;
let M[67,141] :=1;
let M[67,190] :=1;
let M[68,95] :=1;
let M[68,98] :=1;
let M[68,99] :=1;
let M[68,106] :=1;
let M[68,118] :=1;
let M[68,121] :=1;
let M[68,122] :=1;
let M[68,129] :=1;
let M[68,141] :=1;
let M[68,190] :=1;
let M[69,95] :=1;
let M[69,101] :=1;
let M[69,102] :=1;
let M[69,103] :=1;
let M[69,104] :=1;
let M[69,105] :=1;
let M[69,118] :=1;
let M[69,124] :=1;
let M[69,125] :=1;
let M[69,126] :=1;
let M[69,127] :=1;
let M[69,128] :=1;
let M[69,141] :=1;
let M[69,190] :=1;
let M[70,95] :=1;
let M[70,107] :=1;
let M[70,108] :=1;
let M[70,109] :=1;
let M[70,110] :=1;
let M[70,111] :=1;
let M[70,112] :=1;
let M[70,113] :=1;
let M[70,114] :=1;
let M[70,115] :=1;
let M[70,116] :=1;
let M[70,117] :=1;
let M[70,130] :=1;
let M[70,131] :=1;
let M[70,132] :=1;
let M[70,133] :=1;
let M[70,134] :=1;
let M[70,135] :=1;
let M[70,136] :=1;
let M[70,137] :=1;
let M[70,138] :=1;
let M[70,139] :=1;
let M[70,140] :=1;
let M[70,190] :=1;
let M[71,95] :=1;
let M[71,97] :=1;
let M[71,99] :=1;
let M[71,102] :=1;
let M[71,104] :=1;
let M[71,108] :=1;
let M[71,110] :=1;
let M[71,113] :=1;
let M[71,115] :=1;
let M[71,142] :=1;
let M[71,190] :=1;
let M[72,95] :=1;
let M[72,96] :=1;
let M[72,98] :=1;
let M[72,101] :=1;
let M[72,103] :=1;
let M[72,107] :=1;
let M[72,109] :=1;
let M[72,112] :=1;
let M[72,114] :=1;
let M[72,142] :=1;
let M[72,190] :=1;
let M[73,95] :=1;
let M[73,97] :=1;
let M[73,100] :=1;
let M[73,102] :=1;
let M[73,105] :=1;
let M[73,108] :=1;
let M[73,111] :=1;
let M[73,113] :=1;
let M[73,116] :=1;
let M[73,142] :=1;
let M[73,190] :=1;
let M[74,95] :=1;
let M[74,96] :=1;
let M[74,100] :=1;
let M[74,101] :=1;
let M[74,105] :=1;
let M[74,107] :=1;
let M[74,111] :=1;
let M[74,112] :=1;
let M[74,116] :=1;
let M[74,142] :=1;
let M[74,190] :=1;
let M[75,95] :=1;
let M[75,98] :=1;
let M[75,99] :=1;
let M[75,103] :=1;
let M[75,104] :=1;
let M[75,109] :=1;
let M[75,110] :=1;
let M[75,114] :=1;
let M[75,115] :=1;
let M[75,142] :=1;
let M[75,190] :=1;
let M[76,95] :=1;
let M[76,97] :=1;
let M[76,99] :=1;
let M[76,106] :=1;
let M[76,108] :=1;
let M[76,110] :=1;
let M[76,117] :=1;
let M[76,142] :=1;
let M[76,190] :=1;
let M[77,95] :=1;
let M[77,96] :=1;
let M[77,98] :=1;
let M[77,106] :=1;
let M[77,107] :=1;
let M[77,109] :=1;
let M[77,117] :=1;
let M[77,142] :=1;
let M[77,190] :=1;
let M[78,95] :=1;
let M[78,97] :=1;
let M[78,100] :=1;
let M[78,106] :=1;
let M[78,108] :=1;
let M[78,111] :=1;
let M[78,117] :=1;
let M[78,142] :=1;
let M[78,190] :=1;
let M[79,95] :=1;
let M[79,96] :=1;
let M[79,100] :=1;
let M[79,106] :=1;
let M[79,107] :=1;
let M[79,111] :=1;
let M[79,117] :=1;
let M[79,142] :=1;
let M[79,190] :=1;
let M[80,95] :=1;
let M[80,98] :=1;
let M[80,99] :=1;
let M[80,106] :=1;
let M[80,109] :=1;
let M[80,110] :=1;
let M[80,117] :=1;
let M[80,142] :=1;
let M[80,190] :=1;
let M[81,95] :=1;
let M[81,101] :=1;
let M[81,102] :=1;
let M[81,103] :=1;
let M[81,104] :=1;
let M[81,105] :=1;
let M[81,112] :=1;
let M[81,113] :=1;
let M[81,114] :=1;
let M[81,115] :=1;
let M[81,116] :=1;
let M[81,142] :=1;
let M[81,190] :=1;
let M[82,95] :=1;
let M[82,97] :=1;
let M[82,99] :=1;
let M[82,102] :=1;
let M[82,104] :=1;
let M[82,118] :=1;
let M[82,142] :=1;
let M[82,190] :=1;
let M[83,95] :=1;
let M[83,96] :=1;
let M[83,98] :=1;
let M[83,101] :=1;
let M[83,103] :=1;
let M[83,118] :=1;
let M[83,142] :=1;
let M[83,190] :=1;
let M[84,95] :=1;
let M[84,97] :=1;
let M[84,100] :=1;
let M[84,102] :=1;
let M[84,105] :=1;
let M[84,118] :=1;
let M[84,142] :=1;
let M[84,190] :=1;
let M[85,95] :=1;
let M[85,96] :=1;
let M[85,100] :=1;
let M[85,101] :=1;
let M[85,105] :=1;
let M[85,118] :=1;
let M[85,142] :=1;
let M[85,190] :=1;
let M[86,95] :=1;
let M[86,98] :=1;
let M[86,99] :=1;
let M[86,103] :=1;
let M[86,104] :=1;
let M[86,118] :=1;
let M[86,142] :=1;
let M[86,190] :=1;
let M[87,95] :=1;
let M[87,97] :=1;
let M[87,99] :=1;
let M[87,106] :=1;
let M[87,118] :=1;
let M[87,142] :=1;
let M[87,190] :=1;
let M[88,95] :=1;
let M[88,96] :=1;
let M[88,98] :=1;
let M[88,106] :=1;
let M[88,118] :=1;
let M[88,142] :=1;
let M[88,190] :=1;
let M[89,95] :=1;
let M[89,97] :=1;
let M[89,100] :=1;
let M[89,106] :=1;
let M[89,118] :=1;
let M[89,142] :=1;
let M[89,190] :=1;
let M[90,95] :=1;
let M[90,96] :=1;
let M[90,100] :=1;
let M[90,106] :=1;
let M[90,118] :=1;
let M[90,142] :=1;
let M[90,190] :=1;
let M[91,95] :=1;
let M[91,98] :=1;
let M[91,99] :=1;
let M[91,106] :=1;
let M[91,118] :=1;
let M[91,142] :=1;
let M[91,190] :=1;
let M[92,95] :=1;
let M[92,101] :=1;
let M[92,102] :=1;
let M[92,103] :=1;
let M[92,104] :=1;
let M[92,105] :=1;
let M[92,118] :=1;
let M[92,142] :=1;
let M[92,190] :=1;
let M[93,95] :=1;
let M[93,107] :=1;
let M[93,108] :=1;
let M[93,109] :=1;
let M[93,110] :=1;
let M[93,111] :=1;
let M[93,112] :=1;
let M[93,113] :=1;
let M[93,114] :=1;
let M[93,115] :=1;
let M[93,116] :=1;
let M[93,117] :=1;
let M[93,142] :=1;
let M[93,190] :=1;
let M[94,95] :=1;
let M[94,119] :=1;
let M[94,120] :=1;
let M[94,121] :=1;
let M[94,122] :=1;
let M[94,123] :=1;
let M[94,124] :=1;
let M[94,125] :=1;
let M[94,126] :=1;
let M[94,127] :=1;
let M[94,128] :=1;
let M[94,129] :=1;
let M[94,130] :=1;
let M[94,131] :=1;
let M[94,132] :=1;
let M[94,133] :=1;
let M[94,134] :=1;
let M[94,135] :=1;
let M[94,136] :=1;
let M[94,137] :=1;
let M[94,138] :=1;
let M[94,139] :=1;
let M[94,140] :=1;
let M[94,141] :=1;
let M[94,190] :=1;
let M[95,143] :=1;
let M[95,144] :=1;
let M[95,145] :=1;
let M[95,146] :=1;
let M[95,147] :=1;
let M[95,148] :=1;
let M[95,149] :=1;
let M[95,150] :=1;
let M[95,151] :=1;
let M[95,152] :=1;
let M[95,153] :=1;
let M[95,154] :=1;
let M[95,155] :=1;
let M[95,156] :=1;
let M[95,157] :=1;
let M[95,158] :=1;
let M[95,159] :=1;
let M[95,160] :=1;
let M[95,161] :=1;
let M[95,162] :=1;
let M[95,163] :=1;
let M[95,164] :=1;
let M[95,165] :=1;
